Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1275,17,328,216,5843,30060,268764
BOS,"Boston, MA: Logan International",495,3,66,138,1623,9639,77167
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",477,8,78,29,1245,8287,64480
CLT,"Charlotte, NC: Charlotte Douglas International",472,2,54,73,1562,8670,65865
DCA,"Washington, DC: Ronald Reagan Washington National",268,4,58,74,1100,6513,52747
DEN,"Denver, CO: Denver International",323,11,98,34,1611,11691,75428
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1390,19,258,394,4798,27628,263521
DTW,"Detroit, MI: Detroit Metro Wayne County",371,6,71,123,1395,11754,60667
EWR,"Newark, NJ: Newark Liberty International",519,10,121,102,2921,12506,150513
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",256,5,34,13,967,4662,44303
IAD,"Washington, DC: Washington Dulles International",295,3,66,101,1256,8419,65529
IAH,"Houston, TX: George Bush Intercontinental/Houston",730,15,123,91,2601,15551,134182
JFK,"New York, NY: John F. Kennedy International",226,21,28,24,1046,5778,50335
LAS,"Las Vegas, NV: McCarran International",678,17,64,39,1893,11759,79533
LAX,"Los Angeles, CA: Los Angeles International",765,37,97,101,2571,18462,114434
LGA,"New York, NY: LaGuardia",338,4,94,121,1604,8908,82859
MCO,"Orlando, FL: Orlando International",434,3,48,9,1388,7617,65140
MDW,"Chicago, IL: Chicago Midway International",411,12,39,47,951,7061,42962
MIA,"Miami, FL: Miami International",210,2,66,28,1105,4900,52191
MSP,"Minneapolis, MN: Minneapolis-St Paul International",376,9,106,101,1678,12194,78259
ORD,"Chicago, IL: Chicago O'Hare International",982,11,157,261,4899,30195,257007
PDX,"Portland, OR: Portland International",248,11,22,17,684,4746,27645
PHL,"Philadelphia, PA: Philadelphia International",565,1,64,83,2049,9069,97173
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",569,19,41,57,1783,14008,76031
SAN,"San Diego, CA: San Diego International",349,8,30,20,1052,6851,43215
SEA,"Seattle, WA: Seattle/Tacoma International",552,28,36,63,1516,9246,68673
SFO,"San Francisco, CA: San Francisco International",312,14,59,83,1880,10183,90487
SLC,"Salt Lake City, UT: Salt Lake City International",290,15,36,34,1057,10582,42863
TPA,"Tampa, FL: Tampa International",327,3,42,12,1122,5401,51364
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1791,13,367,484,7452,30875,418274
BOS,"Boston, MA: Logan International",587,0,61,226,1710,9972,97186
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",646,4,102,57,1679,8611,100157
CLT,"Charlotte, NC: Charlotte Douglas International",542,0,74,163,1895,8965,94531
DCA,"Washington, DC: Ronald Reagan Washington National",270,3,74,181,1260,6695,67839
DEN,"Denver, CO: Denver International",434,2,111,71,1753,12702,91893
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1443,18,244,274,5003,28323,258631
DTW,"Detroit, MI: Detroit Metro Wayne County",448,4,145,175,1891,12192,103913
EWR,"Newark, NJ: Newark Liberty International",706,11,125,285,2917,13058,180839
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",328,6,35,19,1041,4846,52714
IAD,"Washington, DC: Washington Dulles International",406,10,84,217,1567,8788,92720
IAH,"Houston, TX: George Bush Intercontinental/Houston",960,9,115,90,3031,16467,141506
JFK,"New York, NY: John F. Kennedy International",231,12,39,32,1082,6205,54400
LAS,"Las Vegas, NV: McCarran International",760,8,99,73,1998,12206,110270
LAX,"Los Angeles, CA: Los Angeles International",807,12,141,145,2380,19295,126984
LGA,"New York, NY: LaGuardia",434,0,105,285,1934,9294,117366
MCO,"Orlando, FL: Orlando International",519,3,63,19,1834,8026,95295
MDW,"Chicago, IL: Chicago Midway International",559,14,86,62,1531,7299,95992
MIA,"Miami, FL: Miami International",268,4,41,44,1216,5126,66719
MSP,"Minneapolis, MN: Minneapolis-St Paul International",428,6,108,141,1930,12850,102280
ORD,"Chicago, IL: Chicago O'Hare International",1728,8,258,1258,7259,31345,551568
PDX,"Portland, OR: Portland International",332,7,26,25,716,5016,36851
PHL,"Philadelphia, PA: Philadelphia International",634,1,93,198,2257,9352,121153
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",743,8,66,96,1909,14410,105513
SAN,"San Diego, CA: San Diego International",386,3,44,34,1155,7177,54624
SEA,"Seattle, WA: Seattle/Tacoma International",637,26,67,82,1654,9992,83220
SFO,"San Francisco, CA: San Francisco International",365,10,76,79,1464,10743,79460
SLC,"Salt Lake City, UT: Salt Lake City International",284,9,65,58,1093,10944,52635
TPA,"Tampa, FL: Tampa International",395,3,44,18,1135,5614,60777
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1766,9,361,364,7829,31305,370130
BOS,"Boston, MA: Logan International",698,0,100,292,2256,9933,127494
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",668,6,127,66,1931,8636,107756
CLT,"Charlotte, NC: Charlotte Douglas International",511,1,90,189,1882,8948,93619
DCA,"Washington, DC: Ronald Reagan Washington National",327,3,89,262,1554,6743,90097
DEN,"Denver, CO: Denver International",362,3,111,79,1582,12792,87032
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1350,17,269,466,4951,27956,286661
DTW,"Detroit, MI: Detroit Metro Wayne County",442,6,155,412,2096,12180,116543
EWR,"Newark, NJ: Newark Liberty International",713,7,144,431,3881,13022,289106
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",396,9,46,36,1220,4825,63559
IAD,"Washington, DC: Washington Dulles International",447,9,129,190,1813,8758,106819
IAH,"Houston, TX: George Bush Intercontinental/Houston",587,5,144,104,2291,15985,125085
JFK,"New York, NY: John F. Kennedy International",380,15,64,205,1717,6227,105234
LAS,"Las Vegas, NV: McCarran International",747,7,75,70,1884,12257,97026
LAX,"Los Angeles, CA: Los Angeles International",761,11,139,141,2333,19253,131186
LGA,"New York, NY: LaGuardia",500,1,125,597,2465,9302,180002
MCO,"Orlando, FL: Orlando International",584,6,82,48,1878,7988,101540
MDW,"Chicago, IL: Chicago Midway International",446,15,72,77,1152,7277,68622
MIA,"Miami, FL: Miami International",314,10,70,97,1385,5158,78097
MSP,"Minneapolis, MN: Minneapolis-St Paul International",438,9,104,182,1724,12887,93346
ORD,"Chicago, IL: Chicago O'Hare International",1512,12,237,941,6236,31121,447656
PDX,"Portland, OR: Portland International",336,5,29,26,693,4972,34824
PHL,"Philadelphia, PA: Philadelphia International",695,0,132,242,2590,9390,143224
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",719,20,87,117,1942,14357,99568
SAN,"San Diego, CA: San Diego International",382,2,48,27,1062,7199,51666
SEA,"Seattle, WA: Seattle/Tacoma International",730,24,57,113,1661,10015,87912
SFO,"San Francisco, CA: San Francisco International",385,10,94,96,1876,10732,99292
SLC,"Salt Lake City, UT: Salt Lake City International",326,15,112,74,1271,10999,64430
TPA,"Tampa, FL: Tampa International",350,2,61,37,1129,5502,63084
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",807,4,161,359,3936,30377,180656
BOS,"Boston, MA: Logan International",413,1,23,257,1398,9528,68271
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",289,2,41,205,930,8209,42472
CLT,"Charlotte, NC: Charlotte Douglas International",271,0,14,145,929,8474,38730
DCA,"Washington, DC: Ronald Reagan Washington National",161,1,28,354,894,6507,39420
DEN,"Denver, CO: Denver International",204,3,41,50,900,12076,41637
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",751,2,125,571,2562,27045,151679
DTW,"Detroit, MI: Detroit Metro Wayne County",236,1,52,144,1147,11336,53533
EWR,"Newark, NJ: Newark Liberty International",483,2,147,596,4699,12189,295779
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",164,1,9,35,701,4623,31570
IAD,"Washington, DC: Washington Dulles International",241,1,29,320,966,8419,50212
IAH,"Houston, TX: George Bush Intercontinental/Houston",498,5,71,107,1958,15132,94286
JFK,"New York, NY: John F. Kennedy International",159,3,19,34,896,5811,36388
LAS,"Las Vegas, NV: McCarran International",445,2,18,68,1207,11905,50816
LAX,"Los Angeles, CA: Los Angeles International",416,6,53,171,1496,18196,63767
LGA,"New York, NY: LaGuardia",283,0,77,341,1684,8771,91015
MCO,"Orlando, FL: Orlando International",250,1,19,63,857,7148,40150
MDW,"Chicago, IL: Chicago Midway International",259,2,15,70,632,7220,29236
MIA,"Miami, FL: Miami International",125,0,25,67,784,4732,37924
MSP,"Minneapolis, MN: Minneapolis-St Paul International",228,3,90,117,1390,11543,67403
ORD,"Chicago, IL: Chicago O'Hare International",892,4,99,433,4889,29638,243497
PDX,"Portland, OR: Portland International",142,2,6,44,428,4617,19295
PHL,"Philadelphia, PA: Philadelphia International",361,0,40,206,1806,8947,91049
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",404,2,15,146,1138,13664,51261
SAN,"San Diego, CA: San Diego International",161,1,19,48,584,6888,24189
SEA,"Seattle, WA: Seattle/Tacoma International",308,3,18,86,972,8786,43479
SFO,"San Francisco, CA: San Francisco International",233,6,27,65,1371,9907,62072
SLC,"Salt Lake City, UT: Salt Lake City International",171,6,23,54,730,10553,29093
TPA,"Tampa, FL: Tampa International",197,-1,11,34,629,5198,27377
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",906,4,170,189,5188,31787,210846
BOS,"Boston, MA: Logan International",382,4,13,124,1284,9960,53533
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",412,6,18,42,1050,8618,44654
CLT,"Charlotte, NC: Charlotte Douglas International",239,1,8,54,850,9116,29420
DCA,"Washington, DC: Ronald Reagan Washington National",172,2,18,57,790,6964,30801
DEN,"Denver, CO: Denver International",296,8,24,91,1197,12642,57172
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",635,11,79,200,2314,28282,116061
DTW,"Detroit, MI: Detroit Metro Wayne County",243,5,21,64,1161,12047,45537
EWR,"Newark, NJ: Newark Liberty International",324,6,54,135,2387,13159,119623
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",177,5,5,5,533,5065,21673
IAD,"Washington, DC: Washington Dulles International",309,7,67,125,1171,8723,64257
IAH,"Houston, TX: George Bush Intercontinental/Houston",351,10,42,51,1656,15957,69360
JFK,"New York, NY: John F. Kennedy International",156,7,16,28,755,6124,39054
LAS,"Las Vegas, NV: McCarran International",573,9,32,135,1841,12587,89796
LAX,"Los Angeles, CA: Los Angeles International",578,12,150,581,2463,18973,155938
LGA,"New York, NY: LaGuardia",260,2,27,124,1375,9319,61210
MCO,"Orlando, FL: Orlando International",249,1,4,17,816,7824,33077
MDW,"Chicago, IL: Chicago Midway International",336,5,14,45,869,7665,36536
MIA,"Miami, FL: Miami International",118,0,19,34,603,4948,27775
MSP,"Minneapolis, MN: Minneapolis-St Paul International",202,8,22,53,1412,12098,56341
ORD,"Chicago, IL: Chicago O'Hare International",896,9,38,324,4564,30990,204968
PDX,"Portland, OR: Portland International",245,3,4,45,656,4749,31002
PHL,"Philadelphia, PA: Philadelphia International",312,2,16,80,1475,9239,57820
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",566,11,19,187,1577,14255,75157
SAN,"San Diego, CA: San Diego International",280,7,44,189,892,7206,39876
SEA,"Seattle, WA: Seattle/Tacoma International",425,2,19,113,1707,8921,73423
SFO,"San Francisco, CA: San Francisco International",285,7,32,102,1456,10372,64070
SLC,"Salt Lake City, UT: Salt Lake City International",216,7,34,61,907,10641,41520
TPA,"Tampa, FL: Tampa International",210,3,5,9,596,5545,25812
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",888,6,155,263,4609,30113,193608
BOS,"Boston, MA: Logan International",414,0,22,156,1168,9250,54711
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",408,2,20,40,1102,8064,50385
CLT,"Charlotte, NC: Charlotte Douglas International",314,0,12,77,927,8696,36259
DCA,"Washington, DC: Ronald Reagan Washington National",289,2,21,91,929,6537,41879
DEN,"Denver, CO: Denver International",387,9,91,102,1990,11839,86644
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1028,9,167,373,3662,27905,181139
DTW,"Detroit, MI: Detroit Metro Wayne County",348,2,87,114,1460,11374,68865
EWR,"Newark, NJ: Newark Liberty International",567,3,175,307,3274,12417,190818
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",261,5,17,9,756,5086,35542
IAD,"Washington, DC: Washington Dulles International",363,1,38,136,1229,8200,72043
IAH,"Houston, TX: George Bush Intercontinental/Houston",562,9,71,157,2674,15622,123262
JFK,"New York, NY: John F. Kennedy International",163,8,33,31,718,6006,38034
LAS,"Las Vegas, NV: McCarran International",739,6,50,78,2813,12108,118512
LAX,"Los Angeles, CA: Los Angeles International",703,11,66,232,3295,18267,146926
LGA,"New York, NY: LaGuardia",381,0,99,261,2121,8878,111408
MCO,"Orlando, FL: Orlando International",336,3,21,16,1005,7733,44765
MDW,"Chicago, IL: Chicago Midway International",393,4,87,110,1314,7206,81373
MIA,"Miami, FL: Miami International",165,3,22,22,747,5228,38115
MSP,"Minneapolis, MN: Minneapolis-St Paul International",455,4,106,164,2201,11364,96480
ORD,"Chicago, IL: Chicago O'Hare International",1778,6,202,1403,11857,31206,743287
PDX,"Portland, OR: Portland International",273,3,25,32,799,4458,33459
PHL,"Philadelphia, PA: Philadelphia International",390,0,54,125,1692,8709,81901
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",652,6,34,123,2294,13579,95079
SAN,"San Diego, CA: San Diego International",376,2,19,55,1281,6785,51951
SEA,"Seattle, WA: Seattle/Tacoma International",568,7,38,74,1813,8158,76593
SFO,"San Francisco, CA: San Francisco International",384,1,45,111,2640,9968,129450
SLC,"Salt Lake City, UT: Salt Lake City International",388,23,69,105,1637,10202,64303
TPA,"Tampa, FL: Tampa International",275,1,18,12,757,5422,32929
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1408,24,271,630,7284,31434,428346
BOS,"Boston, MA: Logan International",655,2,60,820,2216,9604,123583
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",638,7,40,125,1652,8548,77398
CLT,"Charlotte, NC: Charlotte Douglas International",523,2,25,134,1407,9010,57167
DCA,"Washington, DC: Ronald Reagan Washington National",367,4,41,245,1223,6630,53993
DEN,"Denver, CO: Denver International",516,10,102,110,2227,12659,98240
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1218,24,221,370,4485,29369,213893
DTW,"Detroit, MI: Detroit Metro Wayne County",510,9,66,226,2085,11714,83818
EWR,"Newark, NJ: Newark Liberty International",736,15,125,843,3870,12975,238374
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",341,16,27,57,1283,5394,64746
IAD,"Washington, DC: Washington Dulles International",481,2,47,269,1519,8587,82010
IAH,"Houston, TX: George Bush Intercontinental/Houston",718,31,66,90,2819,16812,123568
JFK,"New York, NY: John F. Kennedy International",401,13,33,230,1421,6501,78139
LAS,"Las Vegas, NV: McCarran International",1001,10,85,104,2603,12433,120231
LAX,"Los Angeles, CA: Los Angeles International",1065,22,164,283,3619,19452,163684
LGA,"New York, NY: LaGuardia",599,3,89,689,2767,9061,164964
MCO,"Orlando, FL: Orlando International",516,11,47,80,1614,8130,79580
MDW,"Chicago, IL: Chicago Midway International",506,12,31,115,1300,7472,58863
MIA,"Miami, FL: Miami International",259,13,72,54,1283,5508,64961
MSP,"Minneapolis, MN: Minneapolis-St Paul International",528,24,76,200,2530,12030,104818
ORD,"Chicago, IL: Chicago O'Hare International",2311,11,254,1034,12012,32696,624499
PDX,"Portland, OR: Portland International",405,5,38,39,1096,4738,46126
PHL,"Philadelphia, PA: Philadelphia International",576,2,49,263,2215,9079,114072
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",791,12,68,157,2272,14167,102381
SAN,"San Diego, CA: San Diego International",500,5,68,88,1549,7148,66906
SEA,"Seattle, WA: Seattle/Tacoma International",726,8,53,82,1980,8691,87174
SFO,"San Francisco, CA: San Francisco International",562,13,102,208,3474,10645,202376
SLC,"Salt Lake City, UT: Salt Lake City International",578,21,282,401,2594,10809,150262
TPA,"Tampa, FL: Tampa International",387,3,24,59,1119,5768,49842
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1265,15,599,805,7749,34338,395265
BOS,"Boston, MA: Logan International",699,2,85,468,1879,10133,95068
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",611,3,60,206,1532,8632,70364
CLT,"Charlotte, NC: Charlotte Douglas International",498,0,47,221,1412,9099,61505
DCA,"Washington, DC: Ronald Reagan Washington National",343,1,76,336,1269,7531,58637
DEN,"Denver, CO: Denver International",638,14,171,226,2603,12719,128150
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1439,17,413,572,5696,29315,274049
DTW,"Detroit, MI: Detroit Metro Wayne County",542,19,103,341,2566,11900,114379
EWR,"Newark, NJ: Newark Liberty International",642,3,120,548,2930,12751,166062
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",376,6,59,27,1340,5418,64316
IAD,"Washington, DC: Washington Dulles International",505,2,72,279,1411,8633,78757
IAH,"Houston, TX: George Bush Intercontinental/Houston",637,16,103,113,2638,16261,109447
JFK,"New York, NY: John F. Kennedy International",501,10,60,128,1602,6826,76037
LAS,"Las Vegas, NV: McCarran International",908,14,78,177,2614,12769,112088
LAX,"Los Angeles, CA: Los Angeles International",900,18,183,359,3272,19248,150585
LGA,"New York, NY: LaGuardia",568,4,213,588,2710,10526,138616
MCO,"Orlando, FL: Orlando International",518,11,87,49,1781,8506,87721
MDW,"Chicago, IL: Chicago Midway International",560,8,83,225,1681,7597,105840
MIA,"Miami, FL: Miami International",285,0,117,70,1339,5612,67183
MSP,"Minneapolis, MN: Minneapolis-St Paul International",583,16,117,274,2804,12200,127790
ORD,"Chicago, IL: Chicago O'Hare International",2501,9,318,2652,13072,32715,915637
PDX,"Portland, OR: Portland International",315,11,47,531,961,4673,42726
PHL,"Philadelphia, PA: Philadelphia International",601,0,63,287,1966,9202,97167
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",786,22,89,283,2414,14272,112782
SAN,"San Diego, CA: San Diego International",419,8,49,102,1242,7176,54074
SEA,"Seattle, WA: Seattle/Tacoma International",722,19,104,335,2211,8586,113615
SFO,"San Francisco, CA: San Francisco International",553,16,113,283,3314,10746,164456
SLC,"Salt Lake City, UT: Salt Lake City International",593,35,301,366,3234,11270,145962
TPA,"Tampa, FL: Tampa International",399,3,40,35,1097,5807,52178
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1579,13,787,921,11538,32372,670133
BOS,"Boston, MA: Logan International",484,3,61,164,1509,9896,70234
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",543,8,44,60,1293,8216,55836
CLT,"Charlotte, NC: Charlotte Douglas International",422,0,29,167,1244,8495,52003
DCA,"Washington, DC: Ronald Reagan Washington National",265,0,65,123,1019,7307,42802
DEN,"Denver, CO: Denver International",467,5,97,114,1766,11918,73373
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1437,4,306,505,5318,27068,266301
DTW,"Detroit, MI: Detroit Metro Wayne County",414,8,64,204,1677,11463,69707
EWR,"Newark, NJ: Newark Liberty International",555,10,62,198,2561,12353,121753
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",418,3,39,12,1446,5499,63310
IAD,"Washington, DC: Washington Dulles International",444,0,17,175,963,8038,44368
IAH,"Houston, TX: George Bush Intercontinental/Houston",680,12,73,68,3270,15650,128942
JFK,"New York, NY: John F. Kennedy International",288,9,43,45,1105,6569,45969
LAS,"Las Vegas, NV: McCarran International",921,8,159,135,2839,12287,171532
LAX,"Los Angeles, CA: Los Angeles International",884,13,96,253,2672,17910,117654
LGA,"New York, NY: LaGuardia",496,3,116,238,1934,10053,89193
MCO,"Orlando, FL: Orlando International",492,7,59,24,1826,8338,80035
MDW,"Chicago, IL: Chicago Midway International",470,12,30,130,1167,7241,49033
MIA,"Miami, FL: Miami International",261,4,54,26,1233,5356,56489
MSP,"Minneapolis, MN: Minneapolis-St Paul International",527,14,84,225,2660,11745,116289
ORD,"Chicago, IL: Chicago O'Hare International",2205,6,163,984,9260,30970,469942
PDX,"Portland, OR: Portland International",263,13,26,60,690,4315,28946
PHL,"Philadelphia, PA: Philadelphia International",518,0,44,165,1572,8645,75364
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",874,13,61,177,2689,13652,113250
SAN,"San Diego, CA: San Diego International",416,4,38,65,1100,6625,45180
SEA,"Seattle, WA: Seattle/Tacoma International",534,21,26,112,1334,8014,59654
SFO,"San Francisco, CA: San Francisco International",388,12,53,205,2366,10027,134609
SLC,"Salt Lake City, UT: Salt Lake City International",492,31,163,193,2237,10785,95207
TPA,"Tampa, FL: Tampa International",437,4,36,11,1250,5712,53102
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",912,7,227,255,5408,34810,230029
BOS,"Boston, MA: Logan International",578,6,35,263,1974,10921,93093
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",589,7,16,44,1440,8897,61211
CLT,"Charlotte, NC: Charlotte Douglas International",437,0,12,81,1074,9139,43010
DCA,"Washington, DC: Ronald Reagan Washington National",296,1,41,105,1089,7929,47396
DEN,"Denver, CO: Denver International",412,9,39,80,1439,12879,65521
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",943,12,161,401,3370,29385,163097
DTW,"Detroit, MI: Detroit Metro Wayne County",504,3,58,160,2227,12607,89112
EWR,"Newark, NJ: Newark Liberty International",622,10,104,376,3629,13719,212227
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",377,7,29,23,1222,6071,59257
IAD,"Washington, DC: Washington Dulles International",462,6,11,120,1090,8795,51261
IAH,"Houston, TX: George Bush Intercontinental/Houston",611,17,75,72,2856,17306,113950
JFK,"New York, NY: John F. Kennedy International",350,16,23,69,1552,7055,62201
LAS,"Las Vegas, NV: McCarran International",929,8,56,84,2281,13446,98221
LAX,"Los Angeles, CA: Los Angeles International",877,11,104,228,2556,19497,114216
LGA,"New York, NY: LaGuardia",464,1,127,368,2375,10922,120912
MCO,"Orlando, FL: Orlando International",490,12,43,14,1410,9127,62961
MDW,"Chicago, IL: Chicago Midway International",529,7,36,90,1426,7812,58240
MIA,"Miami, FL: Miami International",216,6,33,14,874,5791,41649
MSP,"Minneapolis, MN: Minneapolis-St Paul International",527,10,60,209,2521,12884,104007
ORD,"Chicago, IL: Chicago O'Hare International",2491,8,180,1085,11414,33217,801740
PDX,"Portland, OR: Portland International",265,5,12,62,697,4751,32783
PHL,"Philadelphia, PA: Philadelphia International",542,1,34,125,1990,9275,93494
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",817,7,44,138,2143,14710,95860
SAN,"San Diego, CA: San Diego International",392,3,38,59,1091,7203,43840
SEA,"Seattle, WA: Seattle/Tacoma International",554,14,27,77,1611,8783,72713
SFO,"San Francisco, CA: San Francisco International",364,5,53,117,1652,11013,79762
SLC,"Salt Lake City, UT: Salt Lake City International",325,13,39,79,1240,11546,52562
TPA,"Tampa, FL: Tampa International",385,3,18,10,947,6250,41137
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",924,14,209,264,5704,34026,243355
BOS,"Boston, MA: Logan International",529,1,21,106,1704,10815,78902
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",648,6,34,20,1448,8690,61752
CLT,"Charlotte, NC: Charlotte Douglas International",388,0,14,42,1105,8853,45141
DCA,"Washington, DC: Ronald Reagan Washington National",285,3,47,62,1013,7691,42570
DEN,"Denver, CO: Denver International",364,7,52,74,1435,12526,59700
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",777,11,217,249,3096,28593,146425
DTW,"Detroit, MI: Detroit Metro Wayne County",383,8,54,117,1637,12394,67401
EWR,"Newark, NJ: Newark Liberty International",655,10,108,142,3463,13223,205683
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",374,7,22,6,1330,5907,63103
IAD,"Washington, DC: Washington Dulles International",430,0,19,68,1339,8734,63198
IAH,"Houston, TX: George Bush Intercontinental/Houston",660,12,92,92,2807,16666,122078
JFK,"New York, NY: John F. Kennedy International",297,16,28,29,1513,7244,66140
LAS,"Las Vegas, NV: McCarran International",875,10,74,63,2335,12880,107621
LAX,"Los Angeles, CA: Los Angeles International",813,11,53,113,2460,18953,97891
LGA,"New York, NY: LaGuardia",451,1,118,174,2277,10696,117812
MCO,"Orlando, FL: Orlando International",513,4,43,7,1664,8953,70755
MDW,"Chicago, IL: Chicago Midway International",479,7,15,34,1150,7588,46262
MIA,"Miami, FL: Miami International",160,0,20,11,868,5534,41741
MSP,"Minneapolis, MN: Minneapolis-St Paul International",300,8,84,128,1574,12103,87096
ORD,"Chicago, IL: Chicago O'Hare International",1483,2,129,456,7690,32091,415267
PDX,"Portland, OR: Portland International",233,4,8,45,587,4612,25657
PHL,"Philadelphia, PA: Philadelphia International",448,0,33,65,1935,9049,89301
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",782,9,43,150,1991,14118,85320
SAN,"San Diego, CA: San Diego International",377,5,28,40,1019,6957,41636
SEA,"Seattle, WA: Seattle/Tacoma International",489,11,17,48,1187,8653,50254
SFO,"San Francisco, CA: San Francisco International",293,9,27,73,1496,10757,62521
SLC,"Salt Lake City, UT: Salt Lake City International",284,17,52,79,1527,11072,60124
TPA,"Tampa, FL: Tampa International",348,3,18,4,958,5865,42111
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1515,2,556,457,8802,34896,494941
BOS,"Boston, MA: Logan International",662,4,91,225,2489,10985,138398
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",795,7,114,49,2037,8902,111831
CLT,"Charlotte, NC: Charlotte Douglas International",424,1,48,80,1291,8857,64289
DCA,"Washington, DC: Ronald Reagan Washington National",328,2,113,138,1476,7615,83546
DEN,"Denver, CO: Denver International",525,3,79,106,2012,12820,111295
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",930,2,239,490,3820,29467,227891
DTW,"Detroit, MI: Detroit Metro Wayne County",550,3,201,269,2345,12305,140179
EWR,"Newark, NJ: Newark Liberty International",792,6,144,339,3872,12998,272411
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",420,2,47,10,1114,5410,57305
IAD,"Washington, DC: Washington Dulles International",726,0,47,162,1769,8990,112697
IAH,"Houston, TX: George Bush Intercontinental/Houston",836,9,133,390,3014,17238,202939
JFK,"New York, NY: John F. Kennedy International",358,14,56,41,1604,7278,78588
LAS,"Las Vegas, NV: McCarran International",912,5,50,67,2313,13277,111777
LAX,"Los Angeles, CA: Los Angeles International",842,8,96,173,2976,19345,144181
LGA,"New York, NY: LaGuardia",511,6,175,299,2787,10702,173668
MCO,"Orlando, FL: Orlando International",565,3,74,17,1712,8891,87679
MDW,"Chicago, IL: Chicago Midway International",643,2,100,52,1847,7729,102599
MIA,"Miami, FL: Miami International",257,4,30,41,974,5583,57745
MSP,"Minneapolis, MN: Minneapolis-St Paul International",525,5,137,217,2209,12466,117390
ORD,"Chicago, IL: Chicago O'Hare International",2759,1,215,1968,10964,32756,873086
PDX,"Portland, OR: Portland International",291,2,22,36,781,4715,34951
PHL,"Philadelphia, PA: Philadelphia International",512,2,88,169,2405,9683,152661
