Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
PDX,"Portland, OR: Portland International",348,2,8,41,900,4798,39111
PHL,"Philadelphia, PA: Philadelphia International",532,3,71,138,2198,8391,124648
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",762,5,31,238,2585,17245,117913
SAN,"San Diego, CA: San Diego International",519,4,11,76,1491,8005,63002
SEA,"Seattle, WA: Seattle/Tacoma International",516,6,18,74,1812,8651,87683
SFO,"San Francisco, CA: San Francisco International",707,3,26,182,2573,11542,127645
SLC,"Salt Lake City, UT: Salt Lake City International",410,4,27,121,1315,11653,57613
TPA,"Tampa, FL: Tampa International",518,2,21,53,1440,7050,70178
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1349,9,227,173,5217,34572,256003
BOS,"Boston, MA: Logan International",602,3,93,156,1914,10276,110722
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",536,1,44,28,1162,8988,61124
CLT,"Charlotte, NC: Charlotte Douglas International",439,3,49,111,1698,10996,85049
